date,site,hr_cst,sal,temp,orthop,nn,amm,chl,secchi
2022-02-16,Canals,00,29.12,16.3,0.12,0.19,0.38,7.59,1.2
2022-03-09,Canals,00,29.4,16,0.3,1.56,2.33,13.54,1.2
2022-04-20,Canals,01,32.46,25.1,0.4,1.23,2.28,8.1,1.3
2022-05-11,Canals,01,35.46,29.1,0.06,0.26,0.35,10.32,1.3
2022-06-14,Canals,01,37.7,30.3,0.05,0.11,0.76,9.13,1.2
2022-07-18,Canals,01,43.2,31.3,0.02,0.17,1.2,12.51,1.2
2022-08-09,Canals,01,45.55,31,0.05,0.14,1.33,12.29,1
2022-09-13,Canals,01,37.29,30.6,0.4,1.48,7.01,12.78,1.5
2022-10-18,Canals,01,36.9,25.7,0.91,1.68,13.22,5.46,1.7
2022-11-15,Canals,00,34.3,19.3,0.82,3.52,7.72,3.74,1.6
2022-12-14,Canals,00,32.8,22.4,0.23,0.47,2.1,12.15,1.5
