site,date,LOD,point_shape,per_pos
Gulf,2022-07-07,3,1,0
Gulf,2022-07-09,3,1,0
Gulf,2022-07-14,3,1,0
Gulf,2022-07-19,3,1,0
Gulf,2022-07-12,3,1,0
Gulf,2022-07-17,3,1,0
Gulf,2022-07-13,3,1,0
Gulf,2022-07-15,3,1,0
Gulf,2022-07-18,3,1,0
Gulf,2022-07-16,3,1,0
Gulf,2022-07-08,3,1,0
Gulf,2022-07-11,3,1,0
Blind Oso,2022-07-07,3,1,0
Blind Oso,2022-07-14,3,1,0
Canals,2022-07-07,3,1,0
Canals,2022-07-14,2,16,0.33
Blind Oso,2022-07-08,3,1,0
Blind Oso,2022-07-15,3,1,0
Canals,2022-07-08,3,1,0
Canals,2022-07-15,3,1,0
Blind Oso,2022-07-09,3,1,0
Blind Oso,2022-07-16,3,1,0
Canals,2022-07-09,2,16,0.33
Canals,2022-07-16,3,1,0
Blind Oso,2022-07-11,3,1,0
Blind Oso,2022-07-17,3,1,0
Canals,2022-07-11,2,16,0.33
Canals,2022-07-17,3,1,0
Blind Oso,2022-07-12,3,1,0
Blind Oso,2022-07-18,3,1,0
Canals,2022-07-12,3,1,0
Canals,2022-07-18,2,16,0.33
Blind Oso,2022-07-13,3,1,0
Blind Oso,2022-07-19,3,1,0
Canals,2022-07-13,3,1,0
Canals,2022-07-19,3,1,0
